11;iShares Dow Jones Industrial Average UCITS ETF (DE);DE0006289390;iShares;EXI3;EXI3.DE;INDUEX GY;24.09.2001;;0,51%;0,51%;Distributing;Full Replication;USD;EUR;100.000 EUR;1,50%;NAVI;DE0006300650;RXRGNAV.DE;RXRGNAV;Dow Jones Industrial Average Index;30. Sep 19;7,89;351,61;6,3;www.ishares.com
12;UBS ETF (LU) EURO STOXX 50 UCITS ETF (EUR) A-dis;LU0136234068;UBS ETF;UIM1;E50EUA.DE;E50EUA GY;19.03.2002;;0,15%;0,15%;Distributing;Full Replication;EUR;EUR;100.000 EUR;2,00%;NAV4;CH0144783336;.IUSAEUA;UETFUIM6;EURO STOXX 50 Index;30. Sep 19;1,03;413,52;13,56;www.ubs.com/etf
13;UBS ETF (LU) FTSE 100 UCITS ETF (GBP) A-dis;LU0136242590;UBS ETF;UIM3;100EUA.DE;100EUA GY;19.03.2002;;0,20%;0,20%;Distributing;Full Replication;GBP;EUR;100.000 EUR;2,00%;NAV5;CH0144783682;.IEMUEUA;UETFUIM4;FTSE 100 Index;30. Sep 19;0,34;72,85;15,81;www.ubs.com/etf
14;UBS ETF (LU) MSCI USA UCITS ETF (USD) A-dis;LU0136234654;UBS ETF;UIM6;USAEUA.DE;USAEUA GY;19.03.2002;;0,20%;0,20%;Distributing;Full Replication;USD;EUR;100.000 EUR;2,00%;NAV6;CH0144792923;.IJPNEUA;UETFUIM5;MSCI USA Index;30. Sep 19;9,44;519,59;8,51;www.ubs.com/etf
15;UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-dis;LU0147308422;UBS ETF;UIM4;EMUEUA.DE;EMUEUA GY;27.09.2002;;0,18%;0,18%;Distributing;Full Replication;EUR;EUR;100.000 EUR;2,00%;NF8G;CH0144784821;INEEEINAV.PA;INEEE;MSCI EMU Index;30. Sep 19;31,57;1.323,31;5,32;www.ubs.com/etf
16;Lyxor EURO STOXX 50 (DR) UCITS ETF - Dist;FR0007054358;Lyxor;LYSX;LYSX.DE;LYSX GY;29.11.2002;;0,20%;0,20%;Distributing;Full Replication;EUR;EUR;100.000 EUR;5,00%;;;DJAMINAV=SOLA;DJAMIV;EURO STOXX 50 Index;30. Sep 19;18,14;4.949,95;6,13;www.lyxoretf.de
17;iShares eb.rexx Government Germany UCITS ETF (DE);DE0006289465;iShares;EXHA;RXRGEX.DE;RXRGEX GY;06.02.2003;;0,16%;0,16%;Distributing;Optimised;EUR;EUR;100.000 EUR;0,15%;INAR;DE0007240210;RXP1NAV.DE;RXP1EX;eb.rexx Government Germany Index;30. Sep 19;7,44;282,16;4,63;www.ishares.com
18;UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis;LU0136240974;UBS ETF;UIM5;JPNEUA.DE;JPNEUA GY;20.02.2003;;0,35%;0,35%;Distributing;Full Replication;JPY;EUR;100.000 EUR;3,00%;NAV9;CH0144787352;.I100EUA;UETFUIM3;MSCI Japan Index;30. Sep 19;2,55;1.116,02;12,37;www.ubs.com/etf
19;iShares Euro Corp Bond Large Cap UCITS ETF (Dist);IE0032523478;iShares;IBCS;IBCS.DE;IBCS GY;19.03.2003;;0,20%;0,20%;Distributing;Optimised;EUR;EUR;100.000 EUR;1,50%;3BLE;DE000A0S3FT7;LQDEINAV.DE;INAVUSDE;Markit iBoxx EUR Liquid Corporates Large Cap Index;30. Sep 19;22,08;3.408,48;6,81;www.ishares.com
20;iShares TecDAX UCITS ETF (DE);DE0005933972;iShares;EXS2;EXS2.DE;TDXPEX GY;24.03.2003;;0,51%;0,51%;Accumulating;Full Replication;EUR;EUR;100.000 EUR;1,50%;NAVH;DE0006300643;LCXPNAV.DE;LCXPNAV;TecDAX Index;30. Sep 19;32,82;813,15;5,9;www.ishares.com
21;iShares Core S&P 500 UCITS ETF USD (Dist);IE0031442068;iShares;IUSA;IUSA.DE;IUSA GY;25.04.2003;;0,40%;0,40%;Distributing;Full Replication;USD;EUR;100.000 EUR;1,50%;3BMO;DE000A0S3G51;NAETXNAV.DE;EQIPV;S&P 500 Index;30. Sep 19;56,26;8.787,62;3,92;www.ishares.com
22;iShares eb.rexx Government Germany 5.5-10.5yr UCITS ETF (DE);DE0006289499;iShares;EXHD;RXP5EX.DE;RXP5EX GY;30.06.2003;;0,16%;0,16%;Distributing;Optimised;EUR;EUR;100.000 EUR;0,15%;INAU;DE0002276938;STOXXENAV.DE;SXXENAV;eb.rexx Government Germany 5.5-10.5 Index;30. Sep 19;15,52;285,94;6,75;www.ishares.com
23;iShares eb.rexx Government Germany 1.5-2.5yr UCITS ETF (DE);DE0006289473;iShares;EXHB;RXP1EX.DE;RXP1EX GY;30.06.2003;;0,16%;0,16%;Distributing;Optimised;EUR;EUR;100.000 EUR;0,15%;INAS;DE0002276912;RXP2NAV.DE;RXP2EX;eb.rexx Government Germany 1.5-2.5 Index;30. Sep 19;12,37;237,67;5,39;www.ishares.com
24;iShares eb.rexx Government Germany 2.5-5.5yr UCITS ETF (DE);DE0006289481;iShares;EXHC;RXP2EX.DE;RXP2EX GY;30.06.2003;;0,16%;0,16%;Distributing;Optimised;EUR;EUR;100.000 EUR;0,15%;INAT;DE0002276920;RXP5NAV.DE;RXP5EX;eb.rexx Government Germany 2.5-5.5 Index;30. Sep 19;1,04;212,51;6,15;www.ishares.com
25;iShares Pfandbriefe UCITS ETF (DE);DE0002635265;iShares;EXHE;R1JKEX.DE;R1JKEX GY;09.12.2004;;0,10%;0,10%;Distributing;Optimised;EUR;EUR;100.000 EUR;0,30%;IN2A;DE000A0DMXQ5;GSUKNAV.DE;DDAXKNAV;iBoxx Pfandbriefe Index;30. Sep 19;11,08;678,76;8,16;www.ishares.com
26;Invesco EQQQ Nasdaq-100 UCITS ETF Dist;IE0032077012;Invesco;EQQQ;EQQQ.DE;NAET GY;12.01.2005;;0,30%;0,30%;Distributing;Full Replication;USD;EUR;5.000 shares;1,50%;INAW;DE0001458800;IBCXINAV.DE;INAVBCXG;Nasdaq 100 Index;30. Sep 19;56,5;2.016,80;4,14;etf.invesco.com
27;iShares China Large Cap UCITS ETF USD (Dist);IE00B02KXK85;iShares;IQQC;IQQC.DE;IQQC GY;22.02.2005;;0,74%;0,74%;Distributing;Full Replication;USD;EUR;100.000 EUR;3,00%;3BLW;DE000A0S3GB3;DJMCINAV.DE;INAVDJME;FTSE China 50 Index;30. Sep 19;2,31;549,12;23,83;www.ishares.com
28;iShares MSCI Japan UCITS ETF USD (Dist);IE00B02KXH56;iShares;IQQJ;IQQJ.DE;IQQJ GY;22.02.2005;;0,59%;0,59%;Distributing;Optimised;USD;EUR;100.000 EUR;2,00%;3BMF;DE000A0S3GW9;FXCINAV.DE;INAVFXCE;MSCI Japan Index;30. Sep 19;23,66;1.269,50;6,42;www.ishares.com
29;iShares EURO STOXX Mid UCITS ETF (Dist);IE00B02KXL92;iShares;IQQM;IQQM.DE;IQQM GY;22.02.2005;;0,40%;0,40%;Distributing;Optimised;EUR;EUR;100.000 EUR;1,50%;3BLK;DE000A0S3FZ4;DJSCINAV.DE;INAVDJSE;EURO STOXX Mid Index;30. Sep 19;5,97;390,22;7,8;www.ishares.com
30;iShares EURO STOXX Small UCITS ETF (Dist);IE00B02KXM00;iShares;IQQS;IQQS.DE;IQQS GY;22.02.2005;;0,40%;0,40%;Distributing;Optimised;EUR;EUR;100.000 EUR;1,50%;3BLM;DE000A0S3F11;IWRDINAV.DE;INAVWORE;EURO STOXX Small Index;30. Sep 19;3,79;514,74;9,33;www.ishares.com
31;iShares STOXX Europe Mid 200 UCITS ETF (DE);DE0005933998;iShares;EXSD;MCXPEX.DE;MCXPEX GY;11.04.2005;;0,20%;0,20%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;NAVC;DE000A0C38C2;SX7ENAV.DE;SX7EEX;STOXX Europe Mid 200 Index;30. Sep 19;5,08;294,63;11,09;www.ishares.com
32;iShares STOXX Europe 600 UCITS ETF (DE);DE0002635307;iShares;EXSA;EXSA.DE;SXXPIEX GY;11.04.2005;;0,20%;0,20%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INAX;DE000A0AEM87;MDAXINAV.DE;MDAXNAV;STOXX Europe 600 Index;30. Sep 19;219,93;6.025,08;3,61;www.ishares.com
33;iShares DivDAX UCITS ETF (DE);DE0002635273;iShares;EXSB;EXSB.DE;DDAXKEX GY;11.04.2005;;0,31%;0,31%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INAY;DE000A0C38E8;SD3ENAV.DE;SD3ENAV;DivDAX Index;30. Sep 19;7,19;552,93;11,42;www.ishares.com
34;iShares STOXX Europe Large 200 UCITS ETF (DE);DE0005933980;iShares;EXSC;LCXPEX.DE;LCXPEX GY;11.04.2005;;0,20%;0,20%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;NAVB;DE000A0C38B4;MCXPNAV.DE;MCXPNAV;STOXX Europe Large 200 Index;30. Sep 19;1,81;74,37;26,02;www.ishares.com
35;iShares STOXX Europe Small 200 UCITS ETF (DE);DE000A0D8QZ7;iShares;EXSE;SCXPEX.DE;SCXPEX GY;11.04.2005;;0,20%;0,20%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INAV;DE000A0C38D0;DJCHOS50NAV.DE;DJCHONAV;STOXX Europe Small 200 Index;30. Sep 19;9,84;447,29;11,76;www.ishares.com
36;iShares STOXX Europe Select Dividend 30 UCITS ETF (DE);DE0002635299;iShares;EXSH;SD3PEX.DE;SD3PEX GY;12.05.2005;;0,31%;0,31%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INA2;DE000A0C4HR3;STOXXIINAV.DE;SEURINAV;STOXX Europe Select Dividend 30 Index;30. Sep 19;10,88;483,4;9,38;www.ishares.com
37;iShares EURO STOXX Select Dividend 30 UCITS ETF (DE);DE0002635281;iShares;EXSG;SD3EEX.DE;SD3EEX GY;12.05.2005;;0,31%;0,31%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INA1;DE000A0C4HQ5;SD3PNAV.DE;SD3PNAV;EURO STOXX Select Dividend 30 Index;30. Sep 19;15,65;696,19;8,33;www.ishares.com
38;iShares EURO STOXX UCITS ETF (DE);DE000A0D8Q07;iShares;EXSI;EXSI.DE;SXXEEX GY;12.05.2005;;0,20%;0,20%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INA3;DE000A0C4HS1;NAVAINAV.DE;NAVAETF;EURO STOXX Index;30. Sep 19;53,04;1.459,67;4,56;www.ishares.com
39;Lyxor MSCI EMU Value (DR) UCITS ETF - Dist;LU1598690169;Lyxor;LGWS;LGWS.DE;LGWS GY;09.08.2005;;0,40%;0,40%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INVAL;;0TVXINAV.DE;M9JQINAV;MSCI EMU Value Index;30. Sep 19;2,04;156,22;7,73;www.lyxoretf.de
40;Lyxor MSCI EMU Growth (DR) UCITS ETF - Dist;LU1598688189;Lyxor;LGWT;LGWT.DE;LGWT GY;09.08.2005;;0,40%;0,40%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INGWT;;LGWUINAV=SOLA;LGWUIV;MSCI EMU Growth EUR Index;30. Sep 19;0,31;100,98;36,2;www.lyxoretf.de
41;Lyxor MSCI EMU Small Cap (DR) UCITS ETF - Dist;LU1598689153;Lyxor;LGWU;LGWU.DE;LGWU GY;09.08.2005;;0,40%;0,40%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;INMMS;;EMVINAV=SOLA;EMVIV;MSCI EMU Small Cap EUR Index;30. Sep 19;0,75;219,93;16,2;www.lyxoretf.de
42;iShares Dow Jones U.S. Select Dividend UCITS ETF (DE);DE000A0D8Q49;iShares;EXX5;DJDVPEX.DE;DJDVPEX GY;07.10.2005;;0,31%;0,31%;Distributing;Full Replication;USD;EUR;100.000 EUR;1,50%;IN2C;DE000A0G82B3;SCXPNAV.DE;SCXPNAV;Dow Jones US Select Dividend Index;30. Sep 19;3,9;285,64;22,67;www.ishares.com
43;iShares eb.rexx Government Germany 10.5+yr UCITS ETF (DE);DE000A0D8Q31;iShares;EXX6;RXPXEX.DE;RXPXEX GY;07.10.2005;;0,16%;0,16%;Distributing;Optimised;EUR;EUR;100.000 EUR;0,30%;IN2B;DE000A0E4R73;DJDVPNAV.DE;DJDVPNAV;eb.rexx Government Germany 10.5+ Index;30. Sep 19;7,19;118,46;13,22;www.ishares.com
44;BNP Paribas Easy FTSE EPRA/NAREIT Eurozone Capped UCITS ETF QD D;LU0192223062;BNP Paribas Easy;EEE;EEE.DE;EEEG GY;10.02.2006;;0,40%;0,40%;Distributing;Full Replication;EUR;EUR;50.000 EUR;3,00%;INEEE;QS0010982260;RICIENAV;RICIEURNAV;FTSE EPRA/NAREIT Eurozone Capped Index;30. Sep 19;1,92;340,07;10,56;www.easy.bnpparibas.com
45;iShares Euro Inflation Linked Govt Bond UCITS ETF (Acc);IE00B0M62X26;iShares;IBCI;IBCI.DE;IBCI GY;23.02.2006;;0,25%;0,25%;Accumulating;Optimised;EUR;EUR;100.000 EUR;1,20%;3BLP;DE000A0S3F45;IUKDINAV.DE;INAVUKDE;Barclays Capital Euro Govt Inflation Linked Bond Index;30. Sep 19;22,36;1.315,98;8,39;www.ishares.com
46;iShares MSCI EM UCITS ETF USD (Dist);IE00B0M63177;iShares;IQQE;IQQE.DE;IQQE GY;23.02.2006;;0,75%;0,75%;Distributing;Optimised;USD;EUR;100.000 EUR;3,00%;3BMB;DE000A0S3GS7;IPRPINAV.DE;INAVEPRE;MSCI Emerging Markets Index;30. Sep 19;48,54;3.223,59;6,77;www.ishares.com
47;iShares UK Dividend UCITS ETF GBP (Dist);IE00B0M63060;iShares;IQQD;IQQD.DE;IQQD GY;23.02.2006;;0,40%;0,40%;Distributing;Full Replication;GBP;EUR;100.000 EUR;1,20%;3BL2;DE000A0S3GH0;IEEMINAV.DE;INAVEMKE;FTSE UK Dividend Plus Index;30. Sep 19;1,74;782,78;15,29;www.ishares.com
48;iShares European Property Yield UCITS ETF EUR (Dist);IE00B0M63284;iShares;IQQP;IQQP.DE;IQQP GY;23.02.2006;;0,40%;0,40%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,20%;3BL3;DE000A0S3GJ6;IKORINAV.DE;INAVKORE;FTSE EPRA/NAREIT Developed Europe ex UK Dividend Plus Index;30. Sep 19;13,32;1.595,33;11,89;www.ishares.com
49;iShares MSCI Korea UCITS ETF USD (Dist);IE00B0M63391;iShares;IQQK;IQQK.DE;IQQK GY;23.02.2006;;0,74%;0,74%;Distributing;Full Replication;USD;EUR;100.000 EUR;3,00%;3BMG;DE000A0S3GX7;IBZLINAV.DE;INAVBRAE;MSCI Korea Index;30. Sep 19;4,35;505,51;18,85;www.ishares.com
50;iShares MSCI Taiwan UCITS ETF USD (Dist);IE00B0M63623;iShares;IQQT;IQQT.DE;IQQT GY;23.02.2006;;0,74%;0,74%;Distributing;Full Replication;USD;EUR;100.000 EUR;3,00%;3BMJ;DE000A0S3G02;IFFFINAV.DE;INAVPACE;MSCI Taiwan Index;30. Sep 19;1,66;221,34;21,6;www.ishares.com
51;iShares MSCI AC Far East ex-Japan UCITS ETF USD (Dist);IE00B0M63730;iShares;IQQF;IQQF.DE;IQQF GY;23.02.2006;;0,74%;0,74%;Distributing;Optimised;USD;EUR;100.000 EUR;3,00%;3BL8;DE000A0S3GP3;IEERINAV.DE;INAVEEPE;MSCI AC Far East ex Japan Index;30. Sep 19;15,38;1.866,52;10,55;www.ishares.com
52;iShares MSCI Eastern Europe Capped UCITS ETF USD (Dist);IE00B0M63953;iShares;IQQR;IQQR.DE;IQQR GY;23.02.2006;;0,74%;0,74%;Distributing;Optimised;USD;EUR;100.000 EUR;3,00%;3BMA;DE000A0S3GR9;INAAINAV.DE;INAVMNAE;MSCI Eastern European Index;30. Sep 19;3,19;240,62;27,57;www.ishares.com
53;iShares MSCI World UCITS ETF USD (Dist);IE00B0M62Q58;iShares;IQQW;IQQW.DE;IQQW GY;23.02.2006;;0,50%;0,50%;Distributing;Optimised;USD;EUR;100.000 EUR;1,20%;3BMM;DE000A0S3G36;IDVYINAV.DE;INAVSSDE;MSCI World Index;30. Sep 19;79,59;4.958,32;4,31;www.ishares.com
54;iShares MSCI Brazil UCITS ETF USD (Dist);IE00B0M63516;iShares;IQQB;IQQB.DE;IQQB GY;23.02.2006;;0,74%;0,74%;Distributing;Full Replication;USD;EUR;100.000 EUR;3,00%;3BL9;DE000A0S3GQ1;ITWNINAV.DE;INAVTAIE;MSCI Brazil Index;30. Sep 19;1,77;377,66;54,48;www.ishares.com
55;iShares Euro Dividend UCITS ETF EUR (Dist);IE00B0M62S72;iShares;IQQA;IQQA.DE;IQQA GY;23.02.2006;;0,40%;0,40%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,20%;3BLL;DE000A0S3F03;IDJVINAV.DE;INAVSVLE;EURO STOXX Select Dividend 30 Index;30. Sep 19;3,91;879,57;11,34;www.ishares.com
56;iShares USD Corp Bond UCITS ETF (Dist);IE0032895942;iShares;IBCD;IBCD.DE;IBCD GY;23.02.2006;;0,20%;0,20%;Distributing;Optimised;USD;EUR;100.000 EUR;3,00%;FAB4;DE000A0QY9L5;IJPNINAV.DE;INAVIJPE;Markit iBoxx USD Liquid Investment Grade Index;30. Sep 19;53,23;4.981,00;11,38;www.ishares.com
57;iShares Euro Total Market Growth Large UCITS ETF (Dist);IE00B0M62V02;iShares;IQQG;IQQG.DE;IQQG GY;23.02.2006;;0,40%;0,40%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,20%;3BLJ;DE000A0S3FY7;IBCIINAV.DE;INAVILBE;EURO STOXX Total Market Growth Large Index;30. Sep 19;0,51;94,56;11,98;www.ishares.com
58;iShares Euro Total Market Value Large UCITS ETF (Dist);IE00B0M62T89;iShares;IQQV;IQQV.DE;IQQV GY;23.02.2006;;0,40%;0,40%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,20%;3BLN;DE000A0S3F29;IDJGINAV.DE;INAVSGWE;EURO STOXX Total Market Value Large Index;30. Sep 19;0,34;51,13;16,79;www.ishares.com
59;iShares Dow Jones Asia Pacific Select Dividend 30 UCITS ETF (DE);DE000A0H0744;iShares;EXXW;EXXW.DE;APSDEX GY;11.04.2006;;0,31%;0,31%;Distributing;Full Replication;EUR;EUR;100.000 EUR;3,00%;IN2F;DE000A0G9EH6;IB83NAV;IB83NAV;Dow Jones Asia/Pacific Select Dividend 30 Index;30. Sep 19;4,37;218,69;32,04;www.ishares.com
60;iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE);DE000A0F5UG3;iShares;EXXV;SUBEEX.DE;SUBEEX GY;11.04.2006;;0,41%;0,41%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;V6I9;DE000A0G9DQ9;SDGPNAV.DE;SDGPNAV;Dow Jones Sustainability Eurozone ex Alcohol, Tobacco, Gambling, Armaments & Firearms and Adult Entertainment Index;30. Sep 19;9,03;212,32;14,07;www.ishares.com
61;iShares Dow Jones China Offshore 50 UCITS ETF (DE);DE000A0F5UE8;iShares;EXXU;EXXU.DE;DJCHOEX GY;11.04.2006;;0,61%;0,61%;Distributing;Full Replication;USD;EUR;100.000 EUR;3,00%;IN2E;DE000A0G9EG8;NDXENAV.DE;NDXNAV;Dow Jones China Offshore 50 Index;30. Sep 19;1,36;57,01;49,71;www.ishares.com
62;iShares NASDAQ-100 UCITS ETF (DE);DE000A0F5UF5;iShares;EXXT;NDXEX.DE;NDXEX GY;11.04.2006;;0,31%;0,31%;Distributing;Full Replication;USD;EUR;100.000 EUR;1,50%;IN2D;DE000A0G9EF0;SUBENAV.DE;SUBENAV;Nasdaq 100 Index;30. Sep 19;38,26;1.088,71;7,42;www.ishares.com
63;iShares ATX UCITS ETF (DE);DE000A0D8Q23;iShares;EXXX;ATXEX.DE;ATXEX GY;22.05.2006;;0,32%;0,32%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;2756;DE000A1EXKX1;RXPXNAV.DE;RXPXNAV;ATX Index;30. Sep 19;4,82;95,28;22,53;www.ishares.com
64;Market Access Jim Rogers International Commodity Index ETF;LU0249326488;Market Access;M9SA;MRIC.DE;M9SA GY;30.05.2006;;0,70%;0,70%;Accumulating;Swap-based;USD;EUR;50.000 EUR;3,00%;INA6;DE000A0G9C05;DAXINAV=SOLA;DAXEURIV;Rogers International Commodity Index;30. Sep 19;1,15;33,69;76,62;www.marketaccessetf.com
65;Lyxor MSCI Europe UCITS ETF - Dist;FR0010261198;Lyxor;LYY5;LYY5.DE;LYY5 GY;30.05.2006;;0,25%;0,25%;Distributing;Swap-based;EUR;EUR;100.000 EUR;1,50%;;QS0011023643;CRBEURINAV=SOLA;CRBEURIV;MSCI Europe Index;30. Sep 19;15,5;1.430,39;5,34;www.lyxoretf.de
66;Lyxor Dow Jones Industrial Average UCITS ETF - Dist;FR0007056841;Lyxor;DJAM;DJAM.DE;DJAM GY;21.06.2006;;0,50%;0,50%;Distributing;Swap-based;EUR;EUR;100.000 EUR;2,00%;;;.INUST;INUST;Dow Jones Industrial Average Index;30. Sep 19;3,28;232,28;6,82;www.lyxoretf.de
67;Lyxor DAX (DR) UCITS ETF - Acc;LU0252633754;Lyxor;LYY7;LYY7.DE;LYXDAX GY;29.06.2006;;0,15%;0,15%;Accumulating;Full Replication;EUR;EUR;100.000 EUR;0,50%;V6ID;DE000A0JZFW9;DAXLEVINAV=SOLA;DAXLEVIV;DAX Index;30. Sep 19;26,93;782,62;3,98;www.lyxoretf.de
68;Lyxor Daily LevDAX UCITS ETF - Acc;LU0252634307;Lyxor;LYY8;LYY8.DE;LYXLEDAX GY;29.06.2006;;0,40%;0,40%;Accumulating;Swap-based;EUR;EUR;100.000 EUR;1,00%;V6IE;DE000A0JZFX7;MRMINAV.DE;MRMINAV;LevDAX Index;30. Sep 19;30,87;144,9;6,95;www.lyxoretf.de
69;iShares Nikkei 225 UCITS ETF (DE);DE000A0H08D2;iShares;EXX7;EXX7.DE;NKYEX GY;11.07.2006;;0,51%;0,51%;Distributing;Full Replication;JPY;EUR;100.000 EUR;1,50%;NF87;DE000A0JZGC9;SX4PNAV.DE;SX4PEX;Nikkei 225 Index;30. Sep 19;14,36;138,82;10,23;www.ishares.com
70;iShares Euro Government Bond Capped 1.5-10.5yr UCITS ETF (DE);DE000A0H0785;iShares;EXHF;IB83EX.DE;IB83EX GY;18.07.2006;;0,16%;0,16%;Distributing;Optimised;EUR;EUR;100.000 EUR;0,30%;NF82;DE000A0JZF74;IB85NAV;IB85NAV;iBoxx EUR Liquid Sovereigns Capped 1.5-10.5 Index;30. Sep 19;4,83;390,02;6,96;www.ishares.com
71;Lyxor Japan (TOPIX) (DR) UCITS ETF - Dist;FR0010245514;Lyxor;LYY4;LYXJPN.DE;LYXJPN GY;09.08.2006;;0,45%;0,45%;Distributing;Full Replication;EUR;EUR;100.000 EUR;2,00%;;;LYY5INAV=SOLA;LYY5IV;TOPIX Index;30. Sep 19;5,81;646,35;8,02;www.lyxoretf.de
72;Lyxor MSCI World UCITS ETF - Dist;FR0010315770;Lyxor;LYYA;LYXWLD.DE;LYXWLD GY;30.08.2006;;0,30%;0,30%;Distributing;Swap-based;EUR;EUR;100.000 EUR;3,00%;;;LYXRUSINAV=SOLA;LYXRUSIV;MSCI World Index;30. Sep 19;40,82;2.469,03;5,44;www.lyxoretf.de
73;Lyxor MSCI USA UCITS ETF - Dist;FR0010296061;Lyxor;LYYB;LYXUSA.DE;LYXUSA GY;30.08.2006;;0,25%;0,25%;Distributing;Swap-based;EUR;EUR;100.000 EUR;2,00%;;;AEJEURINAV=SOLA;AEJEURIV;MSCI USA Index;30. Sep 19;2,45;884,33;8,76;www.lyxoretf.de
